iata,icao,name
,VOG,Voyager Airlines,
VC,VAL,Voyageur Airways,
,KWA,Vozdushnaya Academy,
RG,VRN,VRG Linhas Aéreas,
,VUS,Vuela Bus,
VY,VLG,Vueling Airlines,
,VTH,Vuelos Corporativos de Tehuacan,
,VTC,Vuelos Especializados Tollocan,
,VUR,Vuelos Internos Privados VIP,
,VFT,VZ Flights,
,VZL,Vzlyet,
,WAD,Waddington FTU,
,CGG,Walmart Aviation,
,WAS,Walsten Air Services,
,GOT,WaltAir,
3W,VNR,Wanair,
,WPT,Wapiti Aviation,
,WAV,Warbelow's Air Ventures,
,ATX,Warwickshire Aerocentre,
WT,WSG,Wasaya Airways,
KW,WAN,Wataniya Airways,
7W,,Wayraperú,
W1,WDL,WDL Aviation,
,WTC,Weasua Air Transport,
WH,WEB,WebJet Linhas Aéreas,
,TDB,Welch Aviation,
2W,WLC,Welcome Air,
,BLW,Wermlandsflyg AB,
,WCB,West Africa Airlines,
,WTF,West African Air Transport,
WZ,WSF,West African Airlines,
,WAC,West African Cargo Airlines,
,WLX,West Air Luxembourg,
PT,SWN,West Air Sweden,
YH,WCW,West Caribbean Airways,
,WCR,West Caribbean Costa Rica,
8O,YWZ,West Coast Air,
,WCG,West Coast Airlines,
,WCA,West Coast Airways,
,TEE,West Freugh DTEO,
,WEW,West Wind Aviation,
,WAA,Westair Aviation,
,WSC,Westair Cargo Airlines,
,PCM,Westair Industries,
,BLK,Westcoast Energy,
XP,CXP,Western,
,WST,Western Air,
,NPC,Western Air Couriers,
,WAE,Western Air Express,
,WAL,Western Arctic Air,
,WTV,Western Aviators,
,WES,Western Express Air Lines,
,KMR,Western Pacific Airlines,
,WPA,Western Pacific Airservice,
,WSL,Westflight Aviation,
,WSA,Westgates Airlines,
WS,WJA,WestJet,
,WHE,Westland Helicopters,
,WTP,Westpoint Air,
CN,WWD,Westward Airways,
,WHT,White,
,WEA,White Eagle Aviation,
,WRA,White River Air Services,
,WWL,Whyalla Airlines,
WF,WIF,Widerøe,
,WIG,Wiggins Airways,
,WHS,Wiking Helikopter Service,
,WFO,Wilbur's Flight Operations,
,WLS,Williams Air,
,WGP,Williams Grand Prix Engineering,
,WDA,Wimbi Dira Airways,
,WNA,Winair,
IV,JET,Wind Jet,
,WSI,Wind Spirit Air,
,QGA,Windrose Air,
,WIA,Windward Islands Airways International,
1W,WON,Wings Air,
,WAT,Wings Air Transport,
,WAW,Wings Airways,
,WOL,Wings Aviation,
,WEX,Wings Express,
K5,WAK,Wings of Alaska,
,WLB,Wings of Lebanon Aviation,
,WIN,Winlink,
,WAG,Wisconsin Air National Guard,
,WSM,Wisman Aviation,
,WIT,Wittering FTU,
W6,WVL,Wizz Air,
,WZZ,Wizz Air Hungary,
,WNR,Wondair on Demand Aviation,
,CWY,Woodgate Executive Air Charter,
WO,WOA,World Airways,
,XWW,World Weatherwatch,
,WWM,World Wing Aviation,
1P,,Worldspan,
,CSW,Worldwide Air Charter Systems,
,WWS,Worldwide Aviation Services,
,WWI,Worldwide Jet Charter,
,WRR,WRA,
,WRT,Wright Air Lines,
8V,WRF,Wright Air Service,
,XWS,WSI,
,CWU,Wuhan Airlines,
,WYC,Wycombe Air Centre,
,WYG,Wyoming Airlines,
,XAB,Xabre Aerolíneas,
,XJC,Xclusive Jet Charter Limited,
,XER,Xerox,
MF,CXA,Xiamen Airlines,
,CXJ,Xinjiang Airlines,
,XJT,Xjet Limited,
SE,SEU,XL Airways France,
,XPS,XP Internation,
XP,CXP,Xtra Airways,
,AKY,Yak-Service,
,YAK,Yakolev,
YL,LLM,Yamal Airlines,
,CYG,Yana Airlines,
Y8,YZR,Yangtze River Express,
,ELW,Yellow Wings Air Services,
IY,IYE,Yemenia,
,ERV,Yerevan-Avia,
,YFS,Young Flying Service,
,AYU,Yuhi Air Lines,
4Y,UYA,Yute Air Alaska,
2N,UMK,Yuzhmashavia,
,UGN,Yuzhnaya Aircompany,
,RZV,Z-Avia,
,IZG,Zagros Airlines,
,ZAI,Zaire Aero Service,
,ZAR,Zairean Airlines,
,ZMA,Zambezi Airlines,
Q3,MBN,Zambian Airways,
,TAN,Zanair,
,ZAN,Zantop International Airlines,
,ZAS,ZAS Airlines of Egypt,
,AZR,Zenith Air,
,EMR,Zenmour Airlines,
,RZR,Zephyr Express,
,CJG,Zhejiang Airlines,
,JTU,Zhetysu,
,KZH,Zhez Air,
,CFZ,Zhongfei General Aviation,
,CYN,Zhongyuan Aviation,
C4,IMX,Zimex Aviation,
3J,WZP,Zip,
,ZAW,Zoom Airways,
,ORZ,Zorex,
,MLU,Zracno Pristaniste Mali Losinj,
